Core,Core Volume (nm^3)
CdSe,0.036106396
CdTe,0.048804583
CdSeTe,0.081319615
CdS,0.029685449
Zn0.11Cu0.89O,0.013131019
Bi2O3,0.043636529
TiO2,0.023915668
MgO,0.013057498
ZnFe2O4,0.04906738
CuFe2O4,0.048999492
CuO,0.013123551
CdO,0.015085404
ZnO,0.013191439
Fe2O3,0.035875941
Fe3O4,0.048320757
Au,0.012507661
Mn3O4,0.048870561
CeO2,0.025746412
Fe0.07Cr1.93O3,0.036411396
Fe0.05Cr1.95O3,0.036416944
Fe0.03Cr1.97O3,0.036422493
Fe0.01Cr1.99O3,0.036428042
Co0.01Cr1.99O3,0.036427854
Ni0.03Cr1.97O3,0.036423654
Co0.03Cr1.97O3,0.036421928
Ni0.05Cr1.95O3,0.03641888
Co0.05Cr1.95O3,0.036416003
Ni0.07Cr1.93O3,0.036414105
Co0.07Cr1.93O3,0.036410077
Y2O3,0.040589377
Cr2O3,0.036430816
Si0.09Zn0.91O,0.0130628
Co0.5Ni0.5Nd0.02Fe1.98O4,0.048698819
Co0.5Ni0.5Ga1Fe1O4 ,0.04863209
Co0.5Ni0.5Ga0.8Fe1.2O4 ,0.048874299
Co0.5Ni0.5Ga0.6Fe1.4O4 ,0.04881402
Co0.5Ni0.5Ga0.4Fe1.6O4 ,0.048753741
Co0.5Ni0.5Ga0.2Fe1.8O4 ,0.048693461
Co0.5Ni0.5Ga0Fe2O4 ,0.048633182
NiCr2O4,0.049300912
Ni0.8Zn0.2Cr2O4,0.049365181
Ni0.6Zn0.4Cr2O4,0.049429449
Ni0.4Zn0.6Cr2O4,0.049493718
Ni0.2Zn0.8Cr2O4,0.049557986
ZnCr2O4,0.049622255
HfO2,0.024487295
ZnCuO,0.01510376
Ag,0.012507661
ZrO2,0.024551538
Co0.85Bi0.15Fe2O4,0.049034356
CoFe2O4,0.048520328
SnO2,0.024364136
NiO,0.012870096
SiO2,0.023256163
CdHgTe,0.055863361
CdZnS,0.031382848
Co0.5Zn0.5Fe2O3,0.037807545
LiNi0.5Fe2O4,0.049896787
LiMg0.5Fe2O4,0.049990488
Li0.5Fe2.5O4,0.048637825
Co0.5Zn0.5Fe2O4,0.048793854
