,pXC50
598,2.234264124
300,1.67
325,2.63
145,6.389624738
466,3.570123514
185,5.538204811
401,4.052428383
110,7.0
237,2.879583965
273,2.551406813
612,7.909078206
566,7.365636671
64,3.829738285
340,3.17379793
284,3.239421956
115,5.383764957
458,3.242237789
245,2.165197907
337,3.173535895
128,6.096910013
362,2.821120324
541,8.294334963
397,3.675955033
543,7.638764005
592,2.96965108
93,8.301029996
309,1.75
602,8.090228032
328,2.01
525,5.609144887
6,6.581059683
368,2.62324929
171,7.88996797
443,2.888017981
330,2.54
321,2.7
129,6.15368557
386,3.310486203
482,2.633468456
283,3.110685889
224,3.623390272
571,2.615138237
204,8.795880017
42,7.397940009
272,2.508408017
459,2.748968022
623,7.397052449
152,6.805698884
626,7.043607988
372,1.990160761
191,5.63638802
324,2.88
359,5.586868492
632,5.673393743
43,7.397940009
349,2.340197099
479,0.900855297
246,3.430961453
107,6.04851343
14,6.136909379
578,2.916495993
568,2.527092607
381,3.416929796
35,5.858478714
168,3.958607315
311,1.68
342,3.16835014
420,3.939898904
554,4.513898203
450,2.386596493
189,6.008773924
98,6.823908741
492,3.831355223
544,6.50544871
23,6.769551079
33,6.755222545
610,6.548455007
84,7.346787486
100,6.449258387
65,4.698970004
199,7.009139757
433,2.676545906
452,3.24124293
613,5.837160087
591,3.08326707
37,7.0
521,5.552446976
4,5.295625197
253,3.020930713
281,3.009397102
277,2.686620119
101,5.847198396
151,6.651006046
167,3.318758763
150,6.534192738
177,5.22184875
423,3.051431536
282,3.027714318
95,9.0
141,6.358623947
27,5.898922813
510,3.17379793
346,2.620045311
455,3.406677158
74,8.0
132,6.438562385
519,5.538390911
49,6.698082444
106,6.04851343
274,2.54128867
422,3.156295
593,2.805243858
390,3.400088785
255,3.516296905
193,5.446116973
267,5.296311964
9,5.958607315
139,6.422727298
523,2.219060332
403,3.585601711
287,3.343379049
160,3.698970004
380,3.466231912
480,1.146128036
389,3.418233628
557,5.931960006
438,3.303627976
548,5.257143925
344,3.162833144
596,2.320146286
555,3.111311069
254,3.806128121
327,2.65
378,3.409459704
400,2.768166294
270,5.48752665
12,5.967927603
609,9.514272717
32,7.2323438
434,2.984278222
242,2.604334073
148,6.672260408
82,7.431798276
187,6.065501549
229,3.553163883
161,3.292429824
469,4.014932967
396,3.603501193
136,6.601265218
590,2.728388275
121,5.729058876
551,7.770529537
394,3.535824398
473,4.143906576
499,3.400591949
516,2.612783857
134,6.32894325
331,2.8
329,2.84
219,5.657577319
146,6.494516119
414,3.020533468
113,6.602059991
522,5.52151945
230,3.38097943
75,7.602059991
624,9.139920349
203,7.602059991
545,7.512559976
50,6.685258602
353,3.553877091
581,2.994647038
154,6.853871964
556,5.500582975
61,5.877129077
118,5.620960563
232,2.93372867
250,3.459116996
280,2.685715245
461,2.240201392
631,3.958015902
518,3.351860699
76,7.602059991
580,2.914219767
195,6.48755553
294,2.156389564
305,1.76
299,1.53
317,2.26
462,2.855290556
629,6.823908741
178,5.045757491
636,2.693617043
430,3.751770705
45,7.15490196
508,3.173535895
514,2.633468456
78,7.096910013
241,2.764728277
10,5.920818754
92,8.301029996
71,5.700418983
298,1.72
467,3.608202057
509,3.179091977
143,6.542484668
611,6.246594778
371,2.086991018
417,3.155644958
165,3.744727495
105,6.406438711
605,6.860166528
358,5.500602351
351,1.928360207
375,3.243636663
302,1.68
426,3.338109766
373,2.91786629
73,8.0
402,4.090773375
449,3.350560927
376,3.878868159
440,2.549828664
472,3.600428326
304,1.67
352,3.63044658
621,9.392458455
347,2.62402217
366,5.470366928
579,2.460145165
51,6.654041672
103,6.786649953
133,6.311146877
413,2.969119278
157,3.119186408
18,6.756961951
354,3.441232513
228,3.027831744
603,5.55541494
140,6.494120586
408,2.817741252
382,3.671728088
419,3.288262779
460,2.135061491
345,3.162833144
31,8.698970004
164,3.958607315
233,3.313629485
432,2.964146545
16,5.40614545
104,6.184589961
313,1.94
310,1.7
264,2.62324929
285,3.543772505
307,1.66
454,3.408349401
560,2.605843539
407,2.786202724
126,6.602059991
173,7.769896466
163,3.657577319
80,5.030912895
3,8.825487033
395,3.775457178
502,3.343113055
68,7.522878745
355,3.590892034
275,2.595192592
428,3.554066746
497,2.609404626
63,4.356547324
1,7.250970191
21,9.508638306
316,2.37
356,5.915663604
363,5.500602351
549,5.809064146
503,3.041688694
29,4.898922813
214,6.360161398
410,2.823942837
217,7.166341372
48,6.808814633
153,4.522878745
524,5.538390911
507,3.16790781
528,3.321336427
412,2.840478236
286,3.166627431
303,1.62
318,2.06
445,3.024670347
615,5.754319153
179,3.836838625
424,3.254670238
635,5.713941922
83,7.346787486
601,3.560090018
183,6.053056729
575,7.236830361
617,4.495062183
597,2.282168778
574,2.605571414
319,1.89
567,7.422535414
170,7.124938737
240,2.843151498
326,1.75
453,3.392137141
365,5.479896309
481,2.771427042
383,3.019040328
77,7.823908741
377,3.34675068
630,4.13634733
442,2.731667922
194,5.730487056
91,7.096910013
564,7.306939584
341,3.17379793
470,3.699108779
248,3.525174428
411,2.882680233
211,5.698970004
435,4.010479979
120,6.030088872
159,3.420216403
207,6.823908741
588,2.186929975
633,6.227965978
44,7.124938737
393,3.525600053
2,8.520115155
520,5.586868492
81,5.2861854
243,2.68988764
483,2.62324929
301,1.56
392,3.331499601
468,4.213816654
135,6.444557401
266,5.915663604
86,6.522878745
52,6.468716539
137,6.260981975
117,5.276233248
249,3.754348336
147,6.580568205
130,6.224825876
19,5.165794291
119,5.373143261
374,3.832907897
437,2.904985881
418,3.608178245
594,3.545757491
